lom_id,intuitiveness,fluidity,speed
20230718135338949004,"[12.768, 1.193, 2.681, 2.729, 10.885, 1.831, 1.453, 2.034, 0.124, 5.622, 5.258, 2.238, 4.043, 3.483, 2.499, 2.443, 4.73, 15.262, 2.238, 4.043, 2.873, 2.741, 0.194, 3.483, 2.499, 1.175, 5.085]","[0.14100000000000001, 0.17199999999999993, 0.17200000000000015, 0.392, 0.18699999999999994, 0.249, 58.095]","[1, 1, 1, 1, 1, 1, 3, 2, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
20230718135337983000,"[0.288, 1.312, 0.592, 3.715, 1.487, 4.467, 5.321, 0.241, 8.133, 4.768, 0.963, 0.244, 1.652, 47.462, 0.156, 0.552, 1.352, 3.809, 5.038, 0.692, 0.869, 0.192, 4.249, 2.897, 0.54, 0.342, 0.562, 0.191, 0.595, 0.885, 0.42, 0.492, 0.643, 2.79, 3.527, 0.244, 0.753, 0.266, 2.41, 0.634, 0.675, 4.758, 0.54, 0.11, 0.446, 5.353, 0.592, 6.44, 0.616, 1.328, 0.699, 0.14, 0.645, 0.425, 1.286, 2.995, 0.942, 0.228, 1.53, 0.902, 1.723, 0.767, 0.527, 1.202, 0.611, 0.253, 0.278, 0.739, 1.183, 0.221, 6.707, 0.215, 3.19, 0.937, 0.818, 0.819, 0.207, 9.321, 0.59, 0.191, 2.256, 0.71, 0.607, 4.281, 0.218, 0.268, 0.533, 0.885, 0.23, 0.778, 0.614, 0.406, 0.108, 0.247, 1.343, 0.113, 0.732, 0.522, 0.131, 1.655, 0.602, 0.195, 3.021, 0.105, 2.892, 0.733, 0.175, 0.599, 1.117, 0.819, 0.657, 0.344, 0.263, 0.229, 0.172, 3.529, 0.804, 0.708, 0.183, 1.162, 0.791, 0.566, 0.79, 0.561, 2.672, 0.11, 0.507, 0.943, 0.842, 0.745, 2.116, 0.301, 0.627, 0.655, 0.203, 0.23, 0.281, 0.737, 0.154, 0.223, 0.848, 0.409, 0.437, 0.864, 1.017, 0.807, 3.438, 0.558, 0.613, 0.629, 0.561, 0.519, 0.488, 0.802, 0.547, 0.67, 1.185, 2.114, 0.713, 0.289, 2.509, 0.71, 0.196, 6.879, 0.121, 0.744, 0.954, 0.774, 1.696, 0.21, 0.713, 0.547, 1.944, 0.449, 0.145, 2.785, 0.733, 0.483, 55.268, 0.513, 1.514, 1.569, 3.395, 2.309, 0.824, 0.167, 0.554, 0.648, 10.369, 0.516, 0.777, 4.691, 0.552, 0.536, 0.358, 0.243, 1.238, 1.319, 1.048, 0.675, 2.84, 3.606, 35.272, 2.405, 0.638, 0.452, 7.714, 1.494, 0.992, 14.546, 0.198, 5.834, 0.368, 6.992, 0.781, 2.397, 0.108, 1.514, 0.187, 0.677, 0.637, 0.191, 0.325, 0.445, 0.916, 0.43, 0.194, 0.488, 0.896, 0.364, 0.219, 0.195, 0.585, 0.187, 0.365, 0.412, 1.717, 2.411, 0.947, 0.369, 0.252, 0.348, 1.241, 1.409, 0.65, 3.398, 3.731, 5.01, 2.097, 0.991, 1.175, 1.29, 4.657, 0.515, 0.824, 5.225, 3.605, 5.43, 0.203, 0.914, 1.902, 3.292, 1.942, 0.12, 4.854, 5.481, 0.285, 2.763, 1.742, 0.836, 2.456, 1.886, 2.398, 1.123, 0.923, 4.289, 0.571, 1.381, 0.681, 2.289, 5.046, 2.18, 2.429, 0.302, 1.649, 0.644, 8.959, 0.7, 1.376, 0.829, 2.213, 2.135, 0.816, 2.501, 0.69, 1.434, 0.655, 0.187, 0.791, 21.879, 0.878, 0.648, 0.639, 1.232, 1.358, 3.192, 0.639, 30.657, 4.925, 2.479, 0.677, 0.105, 0.288, 5.321, 0.241, 0.852, 0.589, 0.188, 0.566, 2.79, 3.438, 2.41, 55.268, 10.369, 0.773, 0.638, 7.714, 1.494, 14.546, 5.834, 6.992, 0.781, 0.108, 0.677, 0.896, 0.219, 0.585, 3.398, 5.01, 0.25, 2.269, 2.097, 0.991, 1.29, 1.175, 4.657, 0.515, 0.696, 0.824, 5.225, 0.97, 0.64, 1.066, 0.387, 3.605, 1.079, 3.8, 1.668, 1.535, 2.41, 5.43, 0.302, 0.203, 1.942, 0.12, 0.914, 1.902, 3.292, 3.374, 4.854, 1.314, 5.481, 2.763, 1.742, 3.788, 0.156, 36.325, 0.836, 2.456, 1.886, 2.398, 1.123, 0.923, 0.143, 1.95, 4.08, 1.467, 1.0, 0.531, 4.289, 0.571, 4.988, 1.165, 0.244, 0.127, 0.14, 0.455, 0.794, 1.381, 0.681, 2.289, 0.738, 2.738, 5.046, 2.18, 0.302, 2.135, 1.649, 0.816, 0.644, 2.501, 0.69, 0.958, 0.873, 3.567, 8.959, 0.7, 0.595, 0.737, 0.215, 1.602, 2.095, 1.836, 4.366, 2.167, 0.402, 0.77, 1.434, 0.186, 5.364, 1.653, 0.779, 0.16, 0.203, 0.227, 0.286, 0.655, 0.187, 0.791, 4.438, 4.551, 1.232, 4.925, 2.479, 0.677, 0.105, 1.321, 1.152, 0.988, 1.071, 6.27, 2.889, 1.703, 0.994, 1.377, 0.821, 0.221, 0.408, 0.2, 0.172, 0.195, 0.171, 0.192, 0.237, 0.162, 0.234, 4.419, 3.213, 0.586, 1.718, 3.192, 0.642, 0.482, 1.72, 3.82, 4.392, 2.671, 0.903, 0.364, 0.788, 0.268, 0.851, 0.381, 0.859, 0.333, 0.798, 0.221, 0.255, 0.708, 0.183, 0.101, 2.983]","[0.59, 0.531, 0.474, 0.7139999999999997, 0.5680000000000001, 0.3999999999999999, 0.484, 0.718, 0.9669999999999999, 0.46599999999999997, 1.6159999999999997, 0.611, 0.853, 0.9460000000000002, 0.47299999999999986, 0.536, 1.8769999999999998, 0.782, 0.7369999999999999, 0.5210000000000004, 0.835, 0.9529999999999994, 0.5820000000000007, 0.5139999999999999, 12.901, 0.8719999999999999, 0.5009999999999999, 0.764, 0.7220000000000001, 0.59, 0.6380000000000001, 0.683, 1.0699999999999998, 1.9630000000000005, 0.7060000000000001, 0.8029999999999999, 0.5319999999999999, 0.623, 0.747, 0.67, 0.615, 0.598, 0.554, 0.639, 0.504, 0.488, 0.905, 0.4870000000000001, 0.6, 1.189, 0.6719999999999999, 0.845, 0.88, 3.839, 1.7999999999999998, 0.2280000000000002, 0.6320000000000001, 0.75, 0.20799999999999996, 0.43200000000000005, 0.761, 0.46399999999999997, 0.555, 0.6469999999999999, 0.613, 2.117, 0.823, 0.6040000000000001, 0.555, 0.5790000000000001, 0.20500000000000002, 0.20599999999999996, 0.792, 0.505, 0.5039999999999999, 0.729, 0.664, 0.625, 1.063, 0.388, 0.912, 0.8550000000000002, 1.2329999999999997, 0.5440000000000005, 0.8600000000000001, 0.641, 0.7839999999999999, 0.7210000000000001, 13.68, 0.8579999999999999, 5.766, 0.734, 0.776, 0.847, 0.641, 0.5640000000000001, 0.49000000000000005, 0.629, 0.954, 0.7590000000000001, 0.5309999999999999, 0.718, 0.3370000000000002, 0.503, 0.481, 0.4800000000000001, 0.5820000000000001, 2.213, 0.46399999999999997, 0.4740000000000001, 0.5359999999999998, 0.43100000000000027, 0.5059999999999998, 3.1929999999999996, 1.601, 0.9039999999999999, 0.649, 0.897, 1.6159999999999997, 0.8550000000000002, 1.2329999999999997, 0.5440000000000005, 0.641, 13.68, 3.1929999999999996, 0.648, 0.7359999999999998, 1.601, 0.9039999999999999, 1.424, 1.4730000000000003, 0.20199999999999996, 0.3819999999999997, 0.8340000000000005, 1.572, 0.648, 0.638, 0.25499999999999995, 0.3660000000000001, 0.5779999999999998, 0.23199999999999998, 0.7010000000000003, 0.21699999999999964, 0.15499999999999992, 0.897, 0.20400000000000007, 1.7289999999999999, 26.965, 0.11099999999999999, 0.9690000000000001, 0.766, 0.653, 0.73, 1.0670000000000002, 0.853, 0.6240000000000006, 0.5439999999999996, 0.5280000000000005, 0.295, 0.2280000000000001, 0.15700000000000003, 0.14399999999999996, 0.09500000000000003, 0.11700000000000005, 0.11199999999999999, 0.11599999999999999, 0.10999999999999999, 0.10999999999999999, 0.339, 0.126, 0.14899999999999997, 0.137, 0.22799999999999998, 0.21399999999999997, 0.088, 0.118, 0.10299999999999998, 0.10999999999999999, 0.08900000000000008, 0.10999999999999999, 0.10999999999999999, 0.131, 0.09699999999999998, 0.10100000000000003, 0.121, 0.10799999999999998, 0.09399999999999997, 0.10999999999999999, 0.09100000000000008, 0.10899999999999987, 0.391, 0.08899999999999997, 0.09699999999999998, 0.10400000000000009, 0.07399999999999995, 0.131, 0.399, 0.04799999999999993, 0.08299999999999996, 0.07500000000000007, 0.17799999999999994, 0.10900000000000001, 0.37799999999999995, 3.4179999999999997, 0.743, 0.6990000000000001]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 2, 1, 1, 3, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 7, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 2, 2, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 1, 2, 3, 2, 3, 1, 5, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 2, 2, 2, 7, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 4, 1, 1, 1, 1, 1, 1, 4, 8, 2, 6, 9, 9, 7, 6, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1]"
20230718135339102005,"[0.863, 1.822, 3.153, 0.805, 2.498, 1.473, 0.334, 1.896, 1.013, 1.354, 1.73, 3.727, 0.515, 1.054, 2.477, 8.171, 2.907, 0.96, 0.435, 3.664, 0.365, 1.198, 0.139, 1.179, 2.652, 0.252, 2.355, 0.243, 1.404, 3.501, 0.207, 0.148, 8.441, 0.121, 1.066, 0.184, 0.191, 3.328, 1.613, 0.509, 1.079, 15.433, 3.171, 4.289, 0.462, 2.161, 1.758, 2.438, 0.896, 1.693, 4.522, 1.505, 0.734, 0.844, 0.496, 0.342, 0.636, 5.214, 1.525, 0.863, 3.153, 0.805, 2.498, 1.473, 3.727, 0.689, 0.365, 0.73, 0.32, 0.359, 0.148, 0.121, 1.066, 0.184, 0.191, 0.904, 0.105, 0.895, 0.166, 1.63, 0.621, 0.271, 1.661, 0.911, 0.182, 1.818, 1.972, 1.033, 0.282, 4.522, 1.505, 0.236, 5.238, 0.734, 0.844, 1.739, 0.228, 0.166, 0.512, 0.973, 1.021, 1.047, 0.496, 0.696, 3.837, 0.759, 1.208, 4.198, 0.844, 0.477, 2.015, 1.909, 1.682, 0.782, 0.635, 0.547, 0.342, 5.214, 1.525, 1.42, 1.386, 0.234]","[0.5169999999999999, 0.391, 0.3689999999999999, 3.423, 13.392999999999999, 3.135, 7.247999999999999, 0.952, 1.7210000000000005, 0.7150000000000001, 3.8, 0.371, 0.20400000000000018, 0.1919999999999984, 1.3360000000000003, 0.20400000000000063, 3.7119999999999997, 1.04, 0.3370000000000002, 1.3539999999999996, 0.4710000000000001, 0.20199999999999996, 1.153, 0.5169999999999999, 0.391, 0.3689999999999999, 3.423, 0.47499999999999987, 0.16999999999999993, 0.17200000000000001, 0.662, 0.33399999999999985, 0.16300000000000003, 0.367, 0.7769999999999999, 0.19500000000000028, 0.34299999999999997, 0.19499999999999984, 0.6370000000000005, 0.1979999999999995, 0.8150000000000004, 0.31199999999999994, 0.567, 0.391, 0.802, 0.48099999999999987, 0.2270000000000003, 0.6619999999999999, 0.47399999999999975, 0.32699999999999996, 0.3180000000000005, 0.6459999999999999, 0.5069999999999999, 0.19500000000000006, 0.5290000000000001, 0.345, 0.3809999999999998, 0.398, 0.4019999999999999, 0.6180000000000001, 0.35599999999999987, 0.819, 0.20999999999999996, 0.6790000000000003, 0.2320000000000002, 0.20200000000000018, 1.153, 1.2880000000000003, 0.32799999999999985, 3.168, 1.2569999999999997, 0.5910000000000002, 1.6309999999999998]","[2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 13, 12, 6, 9, 2, 1, 2, 1, 1, 1, 1, 1, 3, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
20230718135339615008,"[0.845, 2.43, 1.388, 0.141, 0.381, 20.951, 2.634, 1.948, 1.407, 6.363, 0.427, 0.302, 6.432, 1.209, 2.328, 9.71, 0.852, 3.887, 2.491, 0.987, 0.595, 0.97, 1.274, 1.172, 1.504, 0.562, 11.894, 2.799, 5.542, 1.779, 1.652, 4.62, 12.05, 2.566, 1.235, 1.135, 0.161, 14.754, 4.914, 0.745, 9.103, 0.925, 2.593, 0.212, 2.867, 0.614, 0.302, 0.15, 0.52, 5.697, 2.481, 4.093, 7.007, 2.301, 1.661, 2.093, 0.871, 2.445, 0.231, 3.624, 0.958, 0.854, 0.531, 0.896, 0.244, 1.128, 0.777, 0.575, 1.36, 1.563, 30.354, 0.953, 3.081, 0.77, 1.338, 0.971, 51.6, 6.49, 8.061, 1.429, 0.774, 3.666, 1.101, 1.007, 0.381, 20.951, 2.634, 1.388, 0.852, 1.504, 6.363, 0.302, 1.209, 1.584, 2.867, 0.302, 4.093, 3.6, 2.551, 4.524, 0.863, 0.545, 0.806, 4.215, 0.949, 4.085, 1.274, 0.642, 3.384, 5.937, 0.774, 2.457, 1.073, 3.809, 1.445, 1.622, 5.777, 1.208, 1.033, 0.913, 4.673, 1.806, 1.722, 3.753, 0.156, 2.288, 2.445, 0.454, 0.997, 2.789, 0.231, 3.624, 0.958, 0.854, 0.531, 0.896, 0.244, 2.195, 1.128, 0.777, 0.575, 13.064, 37.271, 2.52, 1.36, 1.563, 30.354, 0.953, 21.707, 3.081, 1.007, 0.198, 1.379, 0.408, 4.123, 0.642, 2.697, 25.859, 3.503, 23.275, 1.474, 0.177, 0.943]","[2.35, 0.6029999999999998, 0.8500000000000001, 0.9009999999999998, 0.746, 0.19199999999999995, 0.8159999999999998, 1.013, 0.2799999999999998, 1.3600000000000003, 0.37599999999999945, 0.8950000000000005, 0.39199999999999946, 5.474, 4.112, 0.5680000000000005, 0.656, 1.3039999999999998, 10.336, 0.18399999999999994, 0.248, 25.592, 7.008000000000001, 24.52, 1.008, 1.373, 0.9260000000000002, 0.2799999999999998, 1.3600000000000003, 0.37599999999999945, 0.8950000000000005, 0.39199999999999946, 5.474, 4.112, 0.5680000000000005, 0.656, 1.3039999999999998, 10.336, 0.3520000000000003, 0.13199999999999967, 0.2799999999999998, 1.5440000000000005, 1.0139999999999993, 0.47199999999999775, 9.304000000000002, 0.2469999999999999, 0.2190000000000012, 0.4609999999999985, 7.665999999999997]","[1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 7, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 7, 1, 1, 3, 4, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1]"
20230718135339462007,"[1.971, 0.774, 0.994, 1.807, 0.128, 1.759, 0.774, 0.994, 2.445, 0.128, 0.179, 1.229, 0.79]",[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
20230718135338796003,"[1.041, 1.145, 0.243, 0.27, 2.943, 0.468, 1.047, 55.172, 0.791, 0.932, 1.83, 6.421, 5.883, 0.783, 0.515, 0.199, 1.138, 0.371, 0.932, 1.251, 1.066, 0.352, 3.315, 2.85, 0.408, 4.716, 1.791, 0.676, 0.972, 0.93, 0.724, 2.434, 1.092, 3.072, 3.502, 0.91, 1.809, 0.941, 11.535, 0.781, 0.675, 0.595, 0.838, 0.257, 1.034, 0.744, 0.362, 0.305, 1.211, 5.665, 2.492, 1.019, 0.432, 1.0, 0.481, 0.839, 1.069, 0.498, 2.492, 0.157, 2.212, 0.555, 0.752, 0.628, 4.168, 0.302, 1.639, 3.315, 2.85, 0.408, 0.941, 0.781, 0.675, 0.595, 0.838, 0.257]","[0.28100000000000014, 1.2969999999999997, 0.28200000000000003, 0.4370000000000003, 2.482, 0.376, 1.1309999999999998, 0.387, 0.40399999999999997, 0.875, 1.8770000000000002, 0.8, 0.608, 0.585, 0.9379999999999997, 0.19799999999999995, 0.17800000000000016, 0.6959999999999998, 0.8]","[1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
20230718135338648002,"[37.221, 1.494, 91.318, 22.784, 0.122, 91.318, 0.467, 22.784]","[0.944, 0.601, 0.16800000000000015, 0.18100000000000005]","[1, 1, 1, 1, 1, 1, 5, 1]"
20230718135339263006,"[0.204, 3.236, 3.069, 2.316, 3.883, 1.245, 0.573, 0.273, 27.865, 1.487, 76.518, 3.595, 6.865, 20.327, 0.242, 7.473, 3.456, 1.614, 2.407, 9.811, 0.48, 0.942, 0.491, 6.015, 5.989, 85.733, 2.784, 1.794, 0.664, 0.743, 3.236, 3.069, 2.316, 3.883, 3.456, 11.35, 1.614, 0.422, 0.664, 10.206, 7.348, 0.107, 3.453, 1.498, 1.346, 2.348, 1.169, 0.509, 0.289, 4.958]","[0.18999999999999995, 0.22199999999999998, 2.254, 0.19599999999999973, 0.8390000000000004, 0.266, 0.7930000000000001, 0.23599999999999977, 1.5039999999999996, 0.23600000000000065, 2.093, 0.20199999999999996, 0.17700000000000005, 1.7180000000000004, 0.23799999999999955, 0.9560000000000004, 0.25, 1.7080000000000002, 0.1979999999999995, 0.19299999999999962, 1.601, 0.4330000000000007, 2.662, 0.4740000000000002, 24.942, 0.402, 0.3839999999999999, 0.21099999999999985, 4.09, 0.22599999999999998, 1.229, 0.2859999999999996, 0.9680000000000001, 0.18999999999999995, 0.22199999999999998, 2.254, 0.19599999999999973, 0.8390000000000004, 0.266, 0.7930000000000001, 0.23599999999999977, 1.5039999999999996, 0.23600000000000065, 2.093, 0.20199999999999996, 0.17700000000000005, 1.7180000000000004, 0.23799999999999955, 0.9560000000000004, 0.25, 1.7080000000000002, 0.1979999999999995, 0.19299999999999962, 1.601, 0.4330000000000007, 2.662, 0.4740000000000002, 24.942, 0.21099999999999985, 4.09, 0.22599999999999998, 1.229, 0.2859999999999996, 0.14000000000000012, 1.3079999999999998, 0.2400000000000002, 0.6710000000000003, 0.5829999999999993, 0.5550000000000006, 0.41999999999999993, 0.3799999999999999, 0.6609999999999996, 0.5760000000000005, 0.17999999999999972, 0.9810000000000001, 0.9009999999999998, 0.34299999999999997, 0.31200000000000006, 0.401, 0.35199999999999987, 0.3039999999999998, 0.7120000000000002]","[1, 2, 12, 8, 7, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 12, 8, 7, 6, 1, 1, 1, 1, 1, 1, 1, 12, 2, 2, 1, 7, 1, 1, 1]"
20230718135338509001,"[2.083, 2.13, 2.132, 4.534, 0.107, 1.194, 0.263, 0.399, 6.867, 7.674, 5.241, 2.032, 1.838, 8.557, 7.049, 3.789, 2.999, 13.817, 8.317, 1.686, 21.874, 5.994, 0.98, 1.452, 0.964, 1.873, 0.123, 0.81, 2.542, 0.658, 2.083, 2.13, 1.237, 3.594, 8.177, 8.557, 3.602, 8.317, 1.686, 1.572, 0.392, 0.313, 4.551, 6.96, 0.821, 5.157]","[0.35699999999999976, 0.3820000000000001, 4.882, 0.3570000000000002, 3.8470000000000004, 0.40199999999999925, 14.691999999999998, 3.9250000000000007, 19.394, 11.925000000000004, 4.692, 14.007, 16.740000000000002, 6.963999999999999, 7.042999999999999, 5.241, 1.0, 0.35699999999999976, 0.3820000000000001, 4.882, 0.3570000000000002, 0.6430000000000002, 14.691999999999998, 3.9250000000000007, 19.394, 11.925000000000004, 4.144, 9.695, 7.4719999999999995, 0.7200000000000001, 0.36800000000000005, 0.3439999999999994, 0.3360000000000001, 0.32800000000000007, 0.31999999999999984, 1.4080000000000001, 1.976]","[2, 4, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 5, 1, 2, 5, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 4, 1, 2, 1, 5, 1, 1, 1, 4, 2, 2, 2, 1, 6, 1]"
